EventID,ActorID,Context
1000101,100,여기가 도서관이었구나.
1000101,100,…
1000101,100,이런 곳에 하면 엄청 혼나겠지…
티티의 이야기001,,
1000102,100,사람이 없는 곳이 좋겠어.
티티의 이야기002,,
1000201,100,공원에 그리면….
1000201,100,너무 많은 사람들이 보게 될 거야.
1000202,100,좋지만… 무서워….
1000202,100,들키지 않았으면 좋겠는데…
1000203,100,들키지 않을 만한 곳이 있을까?
1000401,100,들어가도 괜찮을…까? 사람도 없어 보이고….
1000401,100,이 정도로 어두운 곳이라면 잘 들키지도 않겠지.
1000401,100,그래. 한 번 가보자.
1100101,100,그런데 너무… 어두운데….
1100101,100,이렇게 어두우면 나도 그리면서도 안 보일 것 같아.
1100101,100,...밝은 곳이 있을까?
1000701,100,여기라면….
1000701,100,한 번 해보자.
2100101,110,이쪽으로 가면 공원이 있다고 했었지.
2100101,110,분명 재미있는 게 많겠지?
2100101,110,빨리 가보자!
2000101,110,이런 곳에 도서관이 있었어?
2000101,110,...전혀 도서관처럼 보이지 않는데?
2000102,110,게다가 엄청 낡아 보여.
2000102,110,제대로 운영이나 하고 있으려나?
2000103,110,하지만 책은 재미가 없으니까 공원이나 가볼래.
2100201,110,여기가… 공원…?
2100201,110,…재미없어.
2100201,110,이 정도면 공원도 아니고 그냥 공터 수준이잖아.
2100201,110,차라리 다리 밑에서 타는 게 좋겠네.
2100201,110,멋지게 타는 모습을 사람들에게 보여주고 싶었는데…
2100201,110,어쩔 수 없지. 밑에서 타기라도 해볼까.
2100301,110,후… 재밌었다~
2100301,110,쫌 아쉬운데 기왕 온 김에 안쪽이나 구경해 볼까?
2000301,110,안녕하세요, 아저씨. 혹시 이 주변에 놀 만한 곳이 있나요?
2000301,150,흠… 이 주변엔 놀만한 게 딱히 없는데?
2000301,150,놀 만한 곳이라고 해봐야 저 앞에 있는 공원이지.
2000301,110,저긴 이미 갔다 왔어요.
2000301,110,그리고 공원도 아닌 규모던데요, 뭐.
2000301,150,그래? 그렇담 그냥 딴데로 가보는 게 나을 거다.
2000302,110,정말 안쪽에 들어가도 뭔가 없나요?
2000302,150,…지금은 안쓰는 뒷골목이 하나 있을 뿐이란다.
2000302,150,예전엔 버스킹도 하고 여러 예술가들도 와서 작품을 늘어놓기도 했지.
2000302,150,지금은 전부 살길 찾아 흩어졌지만…
2000303,110,그러면 혹시 어디로 가면되나요? 한 번 보고 싶어요.
2000303,150,…참 독특한 취미구만.
2000303,150,이 길을 따라 쭉 가다보면 철문이 있을 거다.
2000303,150,손님이 온다고 문은 이미 열어 놓았으니 그냥 들어가면 된단다.
2000303,110,감사합니다!
2000303,150,그래, 조심해서 놀거라.
2000304,150,더 물어보고 싶은게 있니?
2000304,110,아니요. 바로 가볼게요. 감사합니다.
2000501,110,뭔가 오래된 그림이네.
2000501,110,그런데 뭔가 멋있어…
2000601,110,이것도 뭔가 지워져 있어.
2000601,110,나도 이런 걸 그려볼 수 있을까?
2000601,110,뭔가 재밌을 것 같아.
2100401,110,이건… 최근에 그려진 거 같은데?
2100401,110,누군가 그리고 간건가?
2100402,110,누구지? 어떡하지? 숨어야 하나?
2100402,110,몰라! 일단 숨자!
2100403,100,정말로 내가 그렸었구나.
2100403,100,이게 내 첫 그래피티…
2100403,100,아무도 없으니 조금만 더…
2100404,110,굉장해!
2100405,110,저 그림 네가 그린 거야?
2100405,110,그 스프레이로 그린 거야?
2100405,110,그리는 데엔 얼마나 걸렸어?
2100405,110,스프레이 가격은 또 얼마고?
2100405,110,나도 한 번 그려 볼 수있을까?
2100405,100,…
2100405,110,고마워!!! 옆에다 바로 그려볼게!
2100406,110,너는 안 그려?
2100406,110,너도 옆에서 같이 그리자!
2100407,110,후! 다그렸다!
2100407,110,정말 고마워! 진짜 즐거웠어.
2100407,110,생각해보니 이름도 모르네.
2100407,110,나는 준이라고 해. 너는?
2100407,100,…티티…에요.
2100407,110,티티! 혹시 너 보드 배워 볼 생각 없니?
2100407,110,내가 도와줄테니까!
