EventID,ActorID,Context,Acting/Face
110001,100,여기가 도서관이구나.~~~,isTiti_Sit/
110001,100, … ,
110001,100,이런 곳에 하면 엄청 혼나겠지…,isTiti_Sit/
110002,100,사람이 없는 곳이 좋을 것 같아…,
112001,100,여기에 그리면…,ㅁㄴ
112001,100,너무 많은 사람들이 볼 것 같아…,
112001,100,좋지만… 무서워….,
112001,100,들키지 않았으면 좋겠는데…,
112002,100,들키지 않을 만한 곳이 있을까?,
112501,100,들어가도 괜찮을…까? 사람도 없어 보이고….,기본/두려움
112501,100,이 정도로 어두운 곳이라면 잘 들키지도 않겠지.,기본/눈감기
112501,100,그래. 한 번 가보자.,기본/기본
100101,100,그런데 너무… 어두운데….,기본/기본
100101,100,이렇게 어두우면 나도 그리면서도 안 보일 것 같아.,기본/기본
100101,100,밝은 곳이 있을까?,기본/기본
100201,100,여기라면….,기본/기본
100201,100,...한 번  해보자.,고개를 끄덕인다/기본
200101,110,이쪽으로 가면 공원이 있다고 했었지.,기본/기본
200101,110,분명 재미있는 게 많겠지?,기대/즐거움
200101,110,빨리 가보자!,기대/즐거움
210001,110,이런 곳에 도서관이 있었어?,기본/당황
210001,110,...전혀 도서관처럼 보이지 않는데?,기본/당황
210002,110,게다가 엄청나게 낡아 보여.,기본/기본
210002,110,제대로 운영이나 하고 있으려나?,기본/당황
210003,110,하지만 책은 재미가 없으니까 공원이나 가볼래.,기본/기본
200201,110,여기가… 공원…?,기본/당황
200201,110,…재미없어.,기본/화남
200201,110,이 정도면 공원도 아니고 그냥 공터 수준이잖아.,기대/화남
200201,110,차라리 다리 밑에서 타는 게 좋겠네.,기본/화남
200201,110,멋지게 타는 모습을 사람들에게 보여주고 싶었는데…,기본/화남
200201,110,어쩔 수 없지. 밑에서 타기라도 해볼까.,기본/기본
200301,110,후… 재밌었다~,즐거움/즐거움
200301,110,조금 아쉬운데 기왕 온 김에 안쪽이나 구경해 볼까?,기본/기본
212301,110,안녕하세요. 아저씨. 혹시 이 주변에 놀만한 곳이 있나요?,기본/기본
212301,140,흠… 이 주변엔 놀만한 게 딱히 없는데?,(청소 중) 기본/기본
212301,140,놀 만한 곳이라고 해봐야 저 앞에 있는 공원이지.,(청소 중) 기본/기본
212301,110,저긴 이미 갔다 왔어요.,기본/기본
212301,110,그리고 공원 크기도 아니던데요.,기본/화남
212301,140,그래? 그렇담 그냥 딴 데로 가보는 게 나을 거다.,(청소 중) 고민/고민
212302,110,정말 안쪽에 들어가도 뭔가 없나요?,기본/당황
212302,140,…지금은 안 쓰는 뒷골목이 하나 있을 뿐이란다.,(청소 중) 기본/기본
212302,140,예전엔 버스킹도 하고 여러 예술가들도 와서 작품을 늘어놓기도 했지.,(청소 중) 고민/기본
212302,140,지금은 전부 살길 찾아 흩어졌지만…,(청소 중) 기본/기본
212303,110,그러면 혹시 어디로 가면 되나요? 한번 보고 싶어요.,기대/즐거움
212303,140,…참 독특한 아이구먼.,(청소 중) 고민/눈감기
212303,140,이 길 따라 쭉 가다 보면 철문이 있을 거다.,(청소 중) 기본/기본
212303,140,손님온다고 문은 이미 열어 놓았으니 그냥 들어가면 된단다.,(청소 중) 기본/기본
212303,110,감사합니다!,기본/즐거움
212303,140,그래. 조심해서 놀거라.,(청소 중) 기본/기본
212304,140,더 물어보고 싶은 게 있니?,(청소 중) 기본/기본
212304,110,아니요. 바로 가볼게요.,기본/즐거움
214101,110,뭔가 오래된 그림이네.,기본/기본
214101,110,그런데 뭔가 멋있어…,기본/기본
214201,110,이것도 뭔가 지워져 있어.,기본/기본
214201,110,나도 이런 걸 그려볼 수 있을까?,기대/즐거움
214201,110,뭔가 재밌을 것 같아.,기대/즐거움
200401,110,이건… 최근에 그려진 거 같은데?,기본/기본
200401,110,누군가 그리고 간 건가?,기본/기본
200402,110,누구지? 어떡하지? 숨어야 하나?,당황/당황
200402,110,몰라! 일단 숨자!,당황/당황
200403,100,정말로 내가 그렸었구나.,기본/기본
200403,100,이게 내 첫 그래피티…,기본기쁨
200403,100,아무도 없으니 조금만 더…,기본/기쁨
200404,110,굉장해!,기대/즐거움
200405,110,저 그림 네가 그린 거야?,기대/즐거움
200405,110,그 스프레이로 그린 거야?,기대/즐거움
200405,110,그리는 데엔 얼마나 걸렸어?,기대/즐거움
200406,110,스프레이 가격은 또 얼마고?,기대/즐거움
200406,110,나도 한 번 그려볼 수 있을까?,기대/즐거움
200406,100,   …   ,기본/눈감기
200407,110,고마워!!! 옆에다 바로 그려볼게!,즐거움/즐거움
200408,110,너는 안 그려? 같이 그리자!,그래피티 중 옆보기/기본
200408,100,….응.,기본/기본
200409,110,후! 다 그렸다!,즐거움/즐거움
200410,110,정말 고마워! 진짜 즐거웠어.,즐거움/즐거움
200410,110,생각해보니 이름도 모르네.,기본/기본
200410,110,나는 준이라고 해. 너는?,기본/기본
200410,100,…티티…에요.,기본/기쁨
200410,110,티티! 혹시 너 보드 배워 볼 생각 없니?,기대/즐거움
200410,110,내가 도와줄 테니까!,기대/즐거움
110401,100,…'새로운 곳에서 시작하는 예술의 거리. 많은 관심 부탁드립니다.',기본/기본
110401,100,…'작은 영화 상영회. ~도서관에서 X월 XX일에 진행 예정.',기본/기본
110401,100,…포스터가 많네.,기본/기본
110402,100,다른 포스터는 없나?,기본/기본
110403,100,구석에 무언가 있지 않을까?,기본/기본
110404,100,   …   ,기본/기본
110404,100,…'모집하는 다양한 Coordinate는 사람 크루입니다.',기본/기본
110404,100,…'열정은 모집할 수 있는 사람입니다.',기본/기본
110404,100,...일부러 이렇게 만든걸까?,기본/기본
110405,100,크루…,기본/눈감기
110405,100,저런 곳에 들어가면 그래피티를 할 수 있을까?,기본/기본
110501,100,오토바이에 그리고 달리면…,기본/기본
110501,100,지나가는 사람들이 엄청 보겠지?,기본/기본
110501,100,   …   ,기본/눈감기
110501,100,언젠가 나도 탈 게 생기면 그려보고 싶네.,기본/기본
